Run Fitness1 Solution1 Fitness2 Solution2
1 4.75135 016002000003008005 14331.3 007002000003000002
1 14331.3 007002000003000002 4474.14 007000000003000002
1 4474.14 007000000003000002 4.75135 016002000003008005
1 4.75135 016002000003008005 284200.0 003002000001000002
1 284200.0 003002000001000002 12725.1 003004000001000002
1 12725.1 003004000001000002 4.75135 016002000003008005
1 4.75135 016002000003008005 2827.7964833333335 003002000007012002
1 2827.7964833333335 003002000007012002 3.12195 003002000009012002
1 3.12195 003002000009012002 3.12195 003002000009012002
1 3.12195 003002000009012002 454.648 003002000001012002
1 454.648 003002000001012002 237.751 003002000001012000
1 237.751 003002000001012000 3.12195 003002000009012002
1 3.12195 003002000009012002 663.307738 000002000007010002
1 663.307738 000002000007010002 3.12195 003002000009012002
1 3.12195 003002000009012002 9331.19 010005002007006002
1 9331.19 010005002007006002 2486.81 010005000007006002
1 2486.81 010005000007006002 3.12195 003002000009012002
1 3.12195 003002000009012002 6270.29 003002001007007002
1 6270.29 003002001007007002 160.53 003002002007007002
1 160.53 003002002007007002 3.12195 003002000009012002
1 3.12195 003002000009012002 64422.19 003002001002012002
1 64422.19 003002001002012002 6566.22 003002002002012002
1 6566.22 003002002002012002 3.12195 003002000009012002
1 3.12195 003002000009012002 434899000.0 000002000003001002
1 434899000.0 000002000003001002 8338.75 009002000003001002
1 8338.75 009002000003001002 3.12195 003002000009012002
1 3.12195 003002000009012002 2827.7964833333335 003002000007012002
1 2827.7964833333335 003002000007012002 271.63 003002000007012000
1 271.63 003002000007012000 3.12195 003002000009012002
1 3.12195 003002000009012002 415.606 000001001007001002
1 415.606 000001001007001002 20.6009 000001001007001006
1 20.6009 000001001007001006 3.12195 003002000009012002
1 3.12195 003002000009012002 2747620.0 003002002007001002
1 2747620.0 003002002007001002 1152270.0 003002000007001002
1 1152270.0 003002000007001002 3.12195 003002000009012002
1 3.12195 003002000009012002 2006.2 003000001003012002
1 2006.2 003000001003012002 102.967 003000001003010002
1 102.967 003000001003010002 3.12195 003002000009012002
1 3.12195 003002000009012002 146941000.0 007000001003012002
1 146941000.0 007000001003012002 4433.04 007000001003005002
1 4433.04 007000001003005002 3.12195 003002000009012002
1 3.12195 003002000009012002 3981.39 003001000007001009
1 3981.39 003001000007001009 115.885 009001000007001009
1 115.885 009001000007001009 3.12195 003002000009012002
1 3.12195 003002000009012002 64422.19 003002001002012002
1 64422.19 003002001002012002 570.247 003002001002012003
1 570.247 003002001002012003 3.12195 003002000009012002
1 3.12195 003002000009012002 20.9888 003002000003001006
1 20.9888 003002000003001006 3.12195 003002000009012002
1 3.12195 003002000009012002 69255.8 000001000001012006
1 69255.8 000001000001012006 5022.21 000006000001012006
1 5022.21 000006000001012006 3.12195 003002000009012002
1 3.12195 003002000009012002 4898.33 000000000007010002
1 4898.33 000000000007010002 4396.75 000003000007010002
1 4396.75 000003000007010002 3.12195 003002000009012002
1 3.12195 003002000009012002 326.472 014003000007010002
1 326.472 014003000007010002 59.7243 014003000004010002
1 59.7243 014003000004010002 3.12195 003002000009012002
1 3.12195 003002000009012002 164.801 000002000003008002
1 164.801 000002000003008002 105.453 000002002003008002
1 105.453 000002002003008002 3.12195 003002000009012002
1 3.12195 003002000009012002 269724.0 007002001003010002
1 269724.0 007002001003010002 2889.99 007002001003010000
1 2889.99 007002001003010000 3.12195 003002000009012002
1 3.12195 003002000009012002 3762.38 003002000003010002
1 3762.38 003002000003010002 3638.78 003002000003010005
1 3638.78 003002000003010005 3.12195 003002000009012002
1 3.12195 003002000009012002 4163.22 003001001003010006
1 4163.22 003001001003010006 15.8101 003001001003001006
1 15.8101 003001001003001006 3.12195 003002000009012002
1 3.12195 003002000009012002 22131.9 007002000003001006
1 22131.9 007002000003001006 44.641 007002000003009006
1 44.641 007002000003009006 3.12195 003002000009012002
1 3.12195 003002000009012002 139633.0475 007002000003000005
1 139633.0475 007002000003000005 139633.0475 007002000003000005
1 139633.0475 007002000003000005 3.12195 003002000009012002
1 3.12195 003002000009012002 3479.77 003001000007008005
1 3479.77 003001000007008005 46.8443 014001000007008005
1 46.8443 014001000007008005 3.12195 003002000009012002
