Run Fitness1 Solution1 Fitness2 Solution2
1 17302.712833333335 031004000025010031 17302.712833333335 031004000025010031
1 17302.712833333335 031004000025010031 136.832 031000000035020031
1 136.832 031000000035020031 1770.67 031000000035038031
1 1770.67 031000000035038031 17302.712833333335 031004000025010031
1 17302.712833333335 031004000025010031 17367.992002777777 031000000025020031
1 17367.992002777777 031000000025020031 388.62 025000000025020031
1 388.62 025000000025020031 17302.712833333335 031004000025010031
1 17302.712833333335 031004000025010031 1240.12 031000001025010018
1 1240.12 031000001025010018 515.571 031000001031010018
1 515.571 031000001031010018 17302.712833333335 031004000025010031
1 17302.712833333335 031004000025010031 31627.0 030004000025020011
1 31627.0 030004000025020011 29185.4 030004000025020032
1 29185.4 030004000025020032 17302.712833333335 031004000025010031
1 17302.712833333335 031004000025010031 19244.6 002000001025030031
1 19244.6 002000001025030031 647.613 002000001025030009
1 647.613 002000001025030009 17302.712833333335 031004000025010031
1 17302.712833333335 031004000025010031 3220.07 031000001011020009
1 3220.07 031000001011020009 1290.48 071000001011020009
1 1290.48 071000001011020009 17302.712833333335 031004000025010031
1 17302.712833333335 031004000025010031 3832.2627272727273 031004001025020031
1 3832.2627272727273 031004001025020031 593.463 031004001025008031
1 593.463 031004001025008031 17302.712833333335 031004000025010031
1 17302.712833333335 031004000025010031 441.05 002005001025020031
1 441.05 002005001025020031 135.273 002005001025003031
1 135.273 002005001025003031 17302.712833333335 031004000025010031
1 17302.712833333335 031004000025010031 1848.15 030004001025003031
1 1848.15 030004001025003031 615.828 030004001025003004
1 615.828 030004001025003004 17302.712833333335 031004000025010031
1 17302.712833333335 031004000025010031 557.266 031004001025030011
1 557.266 031004001025030011 557.266 031004001025030011
1 557.266 031004001025030011 17302.712833333335 031004000025010031
1 17302.712833333335 031004000025010031 2553.63 031005001011020011
1 2553.63 031005001011020011 19194.261 031005000011020011
1 19194.261 031005000011020011 17302.712833333335 031004000025010031
1 17302.712833333335 031004000025010031 11356.3805 031000001025010031
1 11356.3805 031000001025010031 11356.3805 031000001025010031
1 11356.3805 031000001025010031 9700.787 031000000025003031
1 9700.787 031000000025003031 3254.66 031000000025006031
1 3254.66 031000000025006031 11356.3805 031000001025010031
1 11356.3805 031000001025010031 437.218 030000000010010031
1 437.218 030000000010010031 396.219 030005000010010031
1 396.219 030005000010010031 11356.3805 031000001025010031
1 11356.3805 031000001025010031 32177.8 031000000010010031
1 32177.8 031000000010010031 189.462 031000000010010033
1 189.462 031000000010010033 11356.3805 031000001025010031
1 11356.3805 031000001025010031 12005.29725 031000000025010011
1 12005.29725 031000000025010011 592.351 031000000002010011
1 592.351 031000000002010011 11356.3805 031000001025010031
1 11356.3805 031000001025010031 17367.992002777777 031000000025020031
1 17367.992002777777 031000000025020031 196.28449999999998 031000000008020031
1 196.28449999999998 031000000008020031 11356.3805 031000001025010031
1 11356.3805 031000001025010031 751.165 031000000025020033
1 751.165 031000000025020033 406.502 031000000025020007
1 406.502 031000000025020007 11356.3805 031000001025010031
1 11356.3805 031000001025010031 24040.2 031000000008020011
1 24040.2 031000000008020011 414.612 026000000008020011
1 414.612 026000000008020011 11356.3805 031000001025010031
1 11356.3805 031000001025010031 1867.36 002005000025010031
1 1867.36 002005000025010031 11356.3805 031000001025010031
1 11356.3805 031000001025010031 196.28449999999998 031000000008020031
1 196.28449999999998 031000000008020031 180.027 031000000008020036
