Run Fitness1 Solution1 Fitness2 Solution2
1 5.11834 019000000004020005 10781.4 023004000015019005
1 10781.4 023004000015019005 5.11834 019000000004020005
1 5.11834 019000000004020005 4557560.0 023004000022023007
1 4557560.0 023004000022023007 11875.6 023004000022019007
1 11875.6 023004000022019007 5.11834 019000000004020005
1 5.11834 019000000004020005 255509.0 004000002018019000
1 255509.0 004000002018019000 225461.0 002000002018019000
1 225461.0 002000002018019000 5.11834 019000000004020005
1 5.11834 019000000004020005 6532433.8 004002001007005003
1 6532433.8 004002001007005003 6532433.8 004002001007005003
1 6532433.8 004002001007005003 5.11834 019000000004020005
1 5.11834 019000000004020005 690102.0 002000002018004007
1 690102.0 002000002018004007 12752.7 002000002018004014
1 12752.7 002000002018004014 5.11834 019000000004020005
1 5.11834 019000000004020005 28235.1 025000001004005001
1 28235.1 025000001004005001 15577.7 025000001019005001
1 15577.7 025000001019005001 5.11834 019000000004020005
1 5.11834 019000000004020005 7375150000.0 020000001001021001
1 7375150000.0 020000001001021001 41.2424 020000000001021001
1 41.2424 020000000001021001 5.11834 019000000004020005
1 5.11834 019000000004020005 54721.8 019001000000004008
1 54721.8 019001000000004008 6173.66 019000000000004008
1 6173.66 019000000000004008 5.11834 019000000004020005
1 5.11834 019000000004020005 46354.3 023001000006008001
1 46354.3 023001000006008001 2891.26 023001000006008016
1 2891.26 023001000006008016 5.11834 019000000004020005
1 5.11834 019000000004020005 389007.0 001004001001022008
1 389007.0 001004001001022008 379274.0 001002001001022008
1 379274.0 001002001001022008 5.11834 019000000004020005
1 5.11834 019000000004020005 14591.9 004005000025012005
1 14591.9 004005000025012005 87.3328 004005000025012013
1 87.3328 004005000025012013 5.11834 019000000004020005
1 5.11834 019000000004020005 3743660.0 020000001018008008
1 3743660.0 020000001018008008 26867.7 031000001018008008
1 26867.7 031000001018008008 5.11834 019000000004020005
1 5.11834 019000000004020005 8097180000.0 023000001001013003
1 8097180000.0 023000001001013003 241570000.0 023000001001011003
1 241570000.0 023000001001011003 5.11834 019000000004020005
1 5.11834 019000000004020005 967554.5 004005000010020003
1 967554.5 004005000010020003 967554.5 004005000010020003
1 967554.5 004005000010020003 5.11834 019000000004020005
1 5.11834 019000000004020005 30383.1 020000002018005001
1 30383.1 020000002018005001 24651.7 017000002018005001
1 24651.7 017000002018005001 5.11834 019000000004020005
1 5.11834 019000000004020005 6995.03 025001000021004007
1 6995.03 025001000021004007 2596.24 014001000021004007
1 2596.24 014001000021004007 5.11834 019000000004020005
1 5.11834 019000000004020005 26831979.94 023001001009004005
1 26831979.94 023001001009004005 26831979.94 023001001009004005
1 26831979.94 023001001009004005 5.11834 019000000004020005
1 5.11834 019000000004020005 167266.0 020000000021012005
1 167266.0 020000000021012005 8334.83 033000000021012005
